timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,source_type,source_id
108928565,0,0,0,0,0
109434159,0,0,0,0,0
109941158,0,0,0,0,0
110446287,0,0,0,0,0
110951139,0,0,0,0,0
111460584,0,0,0,0,0
111967157,0,0,0,0,0
112476171,0,0,0,0,0
112984314,0,0,0,0,0
113490458,0,0,0,0,0
113998159,0,0,0,0,0
114507177,0,0,0,0,0
115013183,0,0,0,0,0
115519188,0,0,0,0,0
116025189,0,0,0,0,0
116531177,0,0,0,0,0
117037469,0,0,0,0,0
117544176,0,0,0,0,0
118051517,0,0,0,0,0
118557178,0,0,0,0,0
119063211,0,0,0,0,0
119569221,0,0,0,0,0
120075259,0,0,0,0,0
120583179,0,0,0,0,0
121089158,0,0,0,0,0
121595614,0,0,0,0,0
122102653,0,0,0,0,0
122609157,0,0,0,0,0
123115159,0,0,0,0,0
123621158,0,0,0,0,0
124128158,0,0,0,0,0
124634169,0,0,0,0,0
125140158,0,0,0,0,0
125646202,0,0,0,0,0
126153610,0,0,0,0,0
126659261,0,0,0,0,0
127165180,0,0,0,0,0
127671158,0,0,0,0,0
128177221,0,0,0,0,0
128684153,0,0,0,0,0
129191153,0,0,0,0,0
129698153,0,0,0,0,0
130204154,0,0,0,0,0
130710299,0,0,0,0,0
131217208,0,0,0,0,0
131723451,0,0,0,0,0
132231485,0,0,0,0,0
132739192,0,0,0,0,0
133245154,0,0,0,0,0
133751171,0,0,0,0,0
134257152,0,0,0,0,0
134763474,0,0,0,0,0
135269220,0,0,0,0,0
135775152,0,0,0,0,0
136282153,0,0,0,0,0
136788153,0,0,0,0,0
137296447,0,0,0,0,0
137802173,0,0,0,0,0
138308152,0,0,0,0,0
138814242,0,0,0,0,0
139320251,0,0,0,0,0
139826488,0,0,0,0,0
140333635,0,0,0,0,0
140839173,0,0,0,0,0
141346153,0,0,0,0,0
141855166,0,0,0,0,0
142361155,0,0,0,0,0
142868011,0,0,0,0,0
143374158,0,0,0,0,0
143880180,0,0,0,0,0
144388398,0,0,0,0,0
144894316,0,0,0,0,0
145400204,0,0,0,0,0
145906153,0,0,0,0,0
146413165,0,0,0,0,0
146920323,0,0,0,0,0
147426152,0,0,0,0,0
147932153,0,0,0,0,0
148439153,0,0,0,0,0
148948172,0,0,0,0,0
149454325,0,0,0,0,0
149960173,0,0,0,0,0
150467172,0,0,0,0,0
150974173,0,0,0,0,0
151481152,0,0,0,0,0
151987464,0,0,0,0,0
152493153,0,0,0,0,0
152999359,0,0,0,0,0
153507154,0,0,0,0,0
154013164,0,0,0,0,0
154521540,0,0,0,0,0
155027171,0,0,0,0,0
155535153,0,0,0,0,0
156042572,0,0,0,0,0
156548155,0,0,0,0,0
157056153,0,0,0,0,0
157562152,0,0,0,0,0
158069164,0,0,0,0,0
158575152,0,0,0,0,0
159081154,0,0,0,0,0
159587152,0,0,0,0,0
160093154,0,0,0,0,0
160600153,0,0,0,0,0
161107152,0,0,0,0,0
161615154,0,0,0,0,0
162121304,0,0,0,0,0
162627152,0,0,0,0,0
163133154,0,0,0,0,0
163640602,0,0,0,0,0
164146172,0,0,0,0,0
164653173,0,0,0,0,0
165160239,0,0,0,0,0
165666488,0,0,0,0,0
166172625,0,0,0,0,0
166678477,0,0,0,0,0
167186153,0,0,0,0,0
167693153,0,0,0,0,0
168199544,0,0,0,0,0
168707172,0,0,0,0,0
169213154,0,0,0,0,0
169719152,0,0,0,0,0
170225154,0,0,0,0,0
170732172,0,0,0,0,0
171238153,0,0,0,0,0
171745887,0,0,0,0,0
172252865,0,0,0,0,0
172758152,0,0,0,0,0
173266380,0,0,0,0,0
173772153,0,0,0,0,0
174278328,0,0,0,0,0
174785153,0,0,0,0,0
175291400,0,0,0,0,0
175797349,0,0,0,0,0
176304284,0,0,0,0,0
176811182,0,0,0,0,0
177318227,0,0,0,0,0
177825153,0,0,0,0,0
178331152,0,0,0,0,0
178838333,0,0,0,0,0
179347154,0,0,0,0,0
179855246,0,0,0,0,0
180362200,0,0,0,0,0
180868170,0,0,0,0,0
181374483,0,0,0,0,0
181881153,0,0,0,0,0
182387171,0,0,0,0,0
182893293,0,0,0,0,0
183399172,0,0,0,0,0
183906173,0,0,0,0,0
184412383,0,0,0,0,0
184919193,0,0,0,0,0
185426152,0,0,0,0,0
185932152,0,0,0,0,0
186439152,0,0,0,0,0
186945176,0,0,0,0,0
187451449,0,0,0,0,0
187957450,0,0,0,0,0
188463173,0,0,0,0,0
188970161,0,0,0,0,0
189476274,0,0,0,0,0
189982521,0,0,0,0,0
190488410,0,0,0,0,0
190995160,0,0,0,0,0
191501172,0,0,0,0,0
192008160,0,0,0,0,0
192514157,0,0,0,0,0
193020287,0,0,0,0,0
193526264,0,0,0,0,0
194032176,0,0,0,0,0
194538234,0,0,0,0,0
195046157,0,0,0,0,0
195552158,0,0,0,0,0
196058157,0,0,0,0,0
196566160,0,0,0,0,0
197077166,0,0,0,0,0
